Time,Value
17,0.1032307
17.05,0.1012506
17.1,0.1041121
17.15,0.0762728
17.2,8.82E-02
17.25,5.91E-02
17.3,1.57E-02
17.35,3.12E-02
17.4,4.26E-02
17.45,6.23E-02
17.5,5.61E-02
17.55,4.46E-02
17.6,3.76E-02
17.65,3.33E-02
17.7,0.0239424
17.75,2.91E-02
17.8,5.26E-02
17.85,8.11E-02
17.9,0.1092808
17.95,0.1214134
18,4.37E-02
18.05,-0.0291426
18.1,-9.75E-02
18.15,-0.1167941
18.2,-0.1139539
18.25,-0.110194
18.3,-0.1506873
18.35,-0.212492
18.4,-0.2482789
18.45,-0.2571673
18.5,-0.2464156
18.55,-0.2367895
18.6,-0.2710757
18.65,-0.2693959
18.7,-0.2883669
18.75,-0.3286242
18.8,-0.3400786
18.85,-0.3470517
18.9,-0.3781882
18.95,-0.397534
19,-0.3848298
19.05,-0.3737432
19.1,-0.4101098
19.15,-0.4341899
19.2,-0.4606303
19.25,-0.5142196
19.3,-0.5372293
19.35,-0.5252227
19.4,-0.532518
19.45,-0.5363567
19.5,-0.53531
19.55,-0.5497851
19.6,-0.5736493
19.65,-0.5986226
19.7,-0.6123178
19.75,-0.6602311
19.8,-0.6883305
19.85,-0.7073485
19.9,-0.7458915
19.95,-0.7807013
20,-0.8097125
20.05,-0.8284071
20.1,-0.8272082
20.15,-0.7925866
20.2,-0.776204
20.25,-0.8083307
20.3,-0.8500717
20.35,-0.8856055
20.4,-0.8901256
20.45,-0.9184532
20.5,-0.919681
20.55,-0.9524872
20.6,-0.9816709
20.65,-0.9892687
20.7,-0.9815061
20.75,-0.9794766
20.8,-0.9921587
20.85,-1.008738
20.9,-1.023163
20.95,-1.050344
21,-1.088341
21.05,-1.099755
21.1,-1.022385
21.15,-0.8220716
21.2,-0.6287547
21.25,-0.4905511
21.3,-0.5140272
21.35,-0.6780909
21.4,-0.8888981
21.45,-1.060843
21.5,-1.168035
21.55,-1.244115
21.6,-1.305034
21.65,-1.373068
21.7,-1.387198
21.75,-1.034221
21.8,0.3316362
21.85,3.341052
21.9,7.316817
21.95,10.54313
22,11.09019
22.05,8.640552
22.1,4.614676
22.15,0.8600646
22.2,-1.337861
22.25,-1.921634
22.3,-1.815763
22.35,-1.696382
22.4,-1.692489
22.45,-1.698328
22.5,-1.696619
22.55,-1.679054
22.6,-1.646177
22.65,-1.623572
22.7,-1.625597
22.75,-1.60299
22.8,-1.57048
22.85,-1.562256
22.9,-1.534804
22.95,-1.564759
23,-1.576678
23.05,-1.590992
23.1,-1.585468
23.15,-1.556994
23.2,-1.534237
23.25,-1.5399
23.3,-1.557705
23.35,-1.548933
23.4,-1.537361
23.45,-1.525259
23.5,-1.526457
23.55,-1.515071
23.6,-1.488439
23.65,-1.461676
23.7,-1.428616
23.75,-1.416956
23.8,-1.410028
23.85,-1.400555
23.9,-1.389039
23.95,-1.367293
24,-1.352761
24.05,-1.343458
24.1,-1.324349
24.15,-1.295407
24.2,-1.244514
24.25,-1.20122
24.3,-1.152144
24.35,-1.123881
24.4,-1.127739
24.45,-1.106277
24.5,-1.103382
24.55,-1.069294
24.6,-1.047208
24.65,-1.02795
24.7,-1.029111
24.75,-1.029382
24.8,-1.013411
24.85,-0.9881
24.9,-0.987394
24.95,-1.003882
25,-1.015113
25.05,-1.046671
25.1,-1.062443
25.15,-1.048048
25.2,-1.009196
25.25,-0.9640847
25.3,-0.8873966
25.35,-0.7888713
25.4,-0.7076475
25.45,-0.6683243
25.5,-0.6525764
25.55,-0.6643353
25.6,-0.6974041
25.65,-0.7467564
25.7,-0.7854659
25.75,-0.783027
25.8,-0.7482395
25.85,-0.663066
25.9,-0.5715504
25.95,-0.5262833
26,-0.5270445
26.05,-0.5689248
26.1,-0.6140442
26.15,-0.6645277
26.2,-0.7132479
26.25,-0.7303621
26.3,-0.7363684
26.35,-0.7129518
26.4,-0.6972775
26.45,-0.6613818
26.5,-0.5941733
26.55,-0.5353767
26.6,-0.5317205
26.65,-0.5344096
26.7,-0.50767
26.75,-0.4870221
26.8,-0.4753487
26.85,-0.4665565
26.9,-0.4884718
26.95,-0.5560085
27,-0.6158229
27.05,-0.6078979
27.1,-0.6086817
27.15,-0.6121545
27.2,-0.5967145
27.25,-0.5740767
27.3,-0.5548403
27.35,-0.5074784
27.4,-0.4430447
27.45,-0.4034838
27.5,-0.3977795
27.55,-0.4247769
27.6,-0.4512157
27.65,-0.463186
27.7,-0.4433952
27.75,-0.3767163
27.8,-0.3104257
27.85,-0.2676442
27.9,-0.2675261
27.95,-0.2862521
28,-0.3054993
28.05,-0.3225632
28.1,-0.3044311
28.15,-0.2567639
28.2,-0.1973026
28.25,-0.158305
28.3,-0.175577
28.35,-0.2173847
28.4,-0.2724707
28.45,-0.2960123
28.5,-0.3150286
28.55,-0.3244239
28.6,-0.3341035
28.65,-0.3504314
28.7,-0.3454102
28.75,-0.3181967
28.8,-0.2765098
28.85,-0.2464792
28.9,-0.2404203
28.95,-0.2474828
29,-0.2605877
29.05,-0.2581179
29.1,-0.2281204
29.15,-0.185436
29.2,-0.1758434
29.25,-0.1493288
29.3,-0.115914
29.35,-0.1042298
29.4,-7.37E-02
29.45,-3.58E-02
29.5,-2.86E-02
29.55,-6.47E-02
29.6,-0.104838
29.65,-0.1453057
29.7,-0.1978593
29.75,-0.2249856
29.8,-0.2339956
29.85,-0.2284027
29.9,-0.2017443
29.95,-0.1710208
30,-0.1477476
30.05,-0.1189142
30.1,-0.1069383
30.15,-0.1039644
30.2,-0.1098268
30.25,-0.0811386
30.3,-7.79E-02
30.35,-5.17E-02
30.4,1.93E-02
30.45,8.61E-02
30.5,9.31E-02
30.55,5.74E-02
30.6,-1.90E-02
30.65,-0.1263855
30.7,-0.1767955
30.75,-0.1596947
30.8,-0.1224536
30.85,-9.86E-02
30.9,-7.80E-02
30.95,-6.41E-02
31,-7.23E-02
31.05,-5.92E-02
31.1,-5.77E-02
31.15,-8.37E-02
31.2,-9.21E-02
31.25,-9.71E-02
31.3,-9.17E-02
31.35,-6.24E-02
31.4,-4.26E-02
31.45,-0.0357966
31.5,-4.51E-02
31.55,-5.67E-02
31.6,-5.99E-02
31.65,-3.88E-02
31.7,-1.59E-03
31.75,2.25E-02
31.8,7.08E-02
31.85,9.21E-02
31.9,8.12E-02
31.95,5.17E-02
