"Accession","gene_name","Group","SCPN_Ctrl_Rep1","SCPN_Ctrl_Rep2","SCPN_Ctrl_Rep3","SCPN_Ctrl_Rep4","SCPN_Ctrl_Rep5","CPN_Ctrl_Rep1","CPN_Ctrl_Rep2","CPN_Ctrl_Rep4","SCPN_rRNA_Rep1","SCPN_rRNA_Rep2","SCPN_rRNA_Rep3","SCPN_rRNA_Rep4","SCPN_rRNA_Rep5","CPN_rRNA_Rep1","CPN_rRNA_Rep2","CPN_rRNA_Rep3","CPN_rRNA_Rep4"
"A2A8L1","Chd5","Other","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","235828.34375","121231.1953125","ND","135447.90625","ND","124703.765625"
"A2AJI0","Map7d1","Putative E12.5 forebrain RAP","ND","ND","ND","ND","ND","ND","ND","ND","ND","83917.4453125","ND","210718.484375","ND","ND","ND","ND","ND"
"A2AN08","Ubr4","Other","ND","ND","ND","ND","ND","ND","ND","ND","149251.82421875","ND","ND","ND","105591.265625","ND","27554.216796875","ND","ND"
"A2ASS6","Ttn","Other","164521","167668.109375","ND","103918.2734375","ND","134583.1875","92502.0703125","139808.15625","449894.71875","ND","841057.25","960613.0625","462964.3125","ND","ND","689622.375","1119920"
"B2RQC6","Cad","RAP","ND","ND","ND","ND","ND","ND","ND","ND","80630.7578125","42397.3359375","ND","68756.546875","ND","42403.265625","ND","ND","ND"
"B2RR83","Ythdc2","Other","ND","ND","ND","ND","ND","ND","ND","ND","67638.015625","34643.67578125","ND","66495.5234375","ND","ND","ND","ND","ND"
"B2RRE7","Otud4","RAP","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","94224.96875","ND","ND","ND","ND"
"B9EJ86","Osbpl8","Other","ND","ND","ND","ND","ND","ND","ND","ND","324110.9140625","132478.0859375","127655.31640625","197493.828125","ND","147291.125","ND","ND","90508.046875"
"C0HKE4","H2ac8","Other","ND","ND","ND","ND","ND","ND","ND","ND","ND","96618.1875","129983.17578125","ND","116446.03125","ND","ND","260750.0625","339546.9375"
"E1U8D0","Mtcl2","Other","ND","ND","ND","ND","ND","ND","ND","ND","182807.578125","ND","158331.28125","240132.078125","207968.828125","223354.34375","108960.8828125","137285.046875","108809.4375"
