Accession,gene_name,Protein,# SCPN Rep w/ Detection,# CPN Rep w/ Detection,SCPN_rRNA_Rep1,SCPN_rRNA_Rep2,SCPN_rRNA_Rep3,SCPN_rRNA_Rep4,SCPN_rRNA_Rep5,CPN_rRNA_Rep1,CPN_rRNA_Rep2,CPN_rRNA_Rep3,CPN_rRNA_Rep4
Q6GQT1,A2m,Non-RP,5,4,318185,368480,1082383,1220511,500407,667066,704935,579419,1394160
Q9D2R0,Aacs,Non-RP,5,3,393003,198732,124100,314092,133863,130080,103203,ND,163182
P55096,Abcd3,Non-RP,5,4,99168,72800,109688,154846,68939,52602,73946,58576,144556
P61222,Abce1,Non-RP,2,0,101967,73204,ND,ND,ND,ND,ND,ND,ND
Q6P542,Abcf1,Non-RP,5,4,51833,24343,59238,82901,74830,45201,33194,28854,90545
Q8K268,Abcf3,Non-RP,5,3,208366,79249,110482,112442,103355,80416,ND,75533,132133
Q5SSL4,Abr,Non-RP,5,4,301913,82865,216111,150046,288582,119019,110786,125342,271117
Q91V12,Acot7,Non-RP,2,1,ND,ND,55202,46391,ND,ND,ND,ND,56285
P60710,Actb,Non-RP,5,4,89153,90543,99978,152155,49532,88344,59174,52034,108843
P61161,Actr2,Non-RP,5,4,54720,54482,50862,81643,41758,31550,34415,23098,54714
Q8VHN7,Adgrv1,Non-RP,1,1,ND,ND,37642,ND,ND,ND,ND,ND,43115
Q80YS6,Afap1,Non-RP,5,4,52233,51570,40619,127326,90089,70366,48973,28633,76111
Q8VHH5,Agap3,Non-RP,5,4,134965,51433,73398,166034,126146,73736,68744,66711,221731
Q8CJG1,Ago1,Non-RP,5,4,58528,53166,59243,75080,90684,98607,65002,80823,61269
Q8CJG0,Ago2,Non-RP,5,4,43672,49796,65492,78345,43634,67924,59716,56146,79630
P31230,Aimp1,Non-RP,5,3,94308,75148,51849,135557,60991,81055,36622,ND,90202
Q8R010,Aimp2,Non-RP,5,4,172659,79770,97729,200840,101768,68098,59571,57952,154683
Q70FJ1,Akap9,Non-RP,3,0,52014,32699,ND,ND,22364,ND,ND,ND,ND
P31750,Akt1,Non-RP,5,4,145832,68500,80607,135616,57862,88564,50756,41136,99267
Q9DBE8,Alg2,Non-RP,4,3,221907,ND,64772,173874,76417,101974,52571,ND,129824
Q80Y20,Alkbh8,Non-RP,5,4,206041,142191,139874,235316,114624,165378,115649,146624,282388
Q8C8R3-2,Ank2,Non-RP,4,2,39058,19453,ND,45019,27696,ND,29499,ND,36791
Q810B6,Ankfy1,Non-RP,5,3,45270,20297,17897,19338,16207,19083,16546,ND,13835
Q99NH0,Ankrd17,Non-RP,5,4,82159,57518,45787,104355,49179,48982,44493,25290,83320
Q8BTI7,Ankrd52,Non-RP,5,4,33102,23273,18858,23283,13343,18224,13536,14322,19126
P17427,Ap2a2,Non-RP,4,3,ND,23175,28158,52757,47339,33743,32604,ND,50268
