"UniProt_Accession","Gene","SCPN_rRNA_Rep1","SCPN_rRNA_Rep2","SCPN_rRNA_Rep3","SCPN_rRNA_Rep4","SCPN_rRNA_Rep5","CPN_rRNA_Rep1","CPN_rRNA_Rep2","CPN_rRNA_Rep3","CPN_rRNA_Rep4","Log2(CPN_rRNA/SCPN_rRNA)","CPN_rRNA_vs_SCPN_rRNA_p.val","CPN_rRNA_vs_SCPN_rRNA_p.adj"
"A2AJI0","Map7d1",16.373143085377,16.677760235525,16.3956838144213,16.7989635469379,15.3552003988456,16.3223853879993,16.026738728112,15.7874658968553,16.3663800468762,-0.194407701260655,0.545958214553506,0.881648738366811
"A2AN08","Ubr4",15.9068692673959,14.9798964221848,15.74382205149,15.1866376680733,15.5900897674142,15.4106860338822,15.0299801319692,14.5940759688361,15.9442952002074,-0.236703701587894,0.466233315330901,0.848777798576326
"A2ASS6","Ttn",18.5360276537464,19.7021534259909,20.0319996403352,19.4086117132567,18.7236302266585,19.6007051682281,19.8757331203621,19.5080607314857,20.1731597525552,0.508930161160237,0.136212892115425,0.644651113179933
"B2RQC6","Cad",16.0558424088536,15.6927630917247,15.5063880988431,15.6042252826658,15.4803390533929,15.2530194392526,15.212344077303,14.6615025913392,15.874325245448,-0.417613748760346,0.175180171299824,0.654760266159495
"B2RRE7","Otud4",15.2487045756683,15.7655117674692,15.2859769198479,16.0535905415309,16.4269105552381,16.0630511280729,16.0279560623115,15.5331564397461,15.6784119684967,0.0695050277059153,0.823074919756246,0.964288754028151
"B9EJ86","Osbpl8",16.4282112752964,16.3530053473466,16.153129543092,16.5476636616129,16.1590436891909,16.0364470707146,15.7166173548515,15.5649768184124,16.3482188520962,-0.411645679289087,0.157471430376779,0.654760266159495
"C0HKE4","Hist1h2ae",15.7277192384896,15.8556443966177,15.9349660633576,14.2021007100637,15.2400934805761,15.1085276833027,16.2600169432945,16.2452855203945,16.7074313429762,0.688210594671053,0.0800768425066066,0.531621259974416
"E1U8D0","Soga1",17.2367660995925,16.35097948336,17.6227419480908,17.408484426003,17.5690965416935,17.6501064701955,17.0134454037519,17.1794286429383,16.809639671733,-0.0744586525932753,0.815343992006203,0.959560897412392
"E9Q5C9","Nolc1",15.937090157251,16.8076666480399,15.9145061503599,14.340933127767,15.7479069429557,16.3025314579197,16.4123272033429,16.943096162789,15.1918843531798,0.462839189033147,0.271137599889648,0.706008437320346
"E9Q8I9","Fry",15.1328805666793,15.0845547476853,15.9064411177002,16.1090963440601,14.8931100388024,14.5174589215463,15.4909486774779,14.3004702759165,15.2532211213016,-0.53469181392488,0.127347174492785,0.640081781652365
"F8VPU2","Farp1",17.2202769965866,17.7070017534245,17.8592093327312,17.4104853515031,16.8558148237917,16.6643218410938,17.0343476923145,16.6450158903902,17.8717144461914,-0.356707684109942,0.277546123648801,0.706008437320346
"O08579","Emd",18.3091868304109,17.7698273609576,18.713418754276,17.9495428626891,17.3887403552587,17.7212959716514,17.6665711755768,16.8238508611784,18.1357858843853,-0.439267259520491,0.197377798588694,0.664412589615463
"O08810","Eftud2",14.4757014153995,16.2149235223965,16.7097107707263,16.6219353287949,16.3278186495494,15.8643837447782,16.1546729593972,15.8011258556965,16.4880292378952,0.00703501206844948,0.98539160837464,0.990676683696039
"O08967","Cyth3",16.8832228579812,16.2016425466829,16.0620678469893,16.6124540202596,16.7173697284644,16.6232586238107,15.8199768311019,15.7762149900081,15.7774878271977,-0.496116832045859,0.112365080298867,0.590225366844601
"O09106","Hdac1",15.7783968728231,16.404942030024,17.1263238011981,16.432060519804,17.0526496847982,16.5089726707468,16.9255509343855,17.0147252423447,16.5664909490875,0.195060367411617,0.540032114831962,0.878962326026204
"O09167","Rpl21",18.8530393877849,19.2227150996085,19.0345435278117,19.150160558245,18.1409662577129,18.8034763888563,18.8248213040277,18.5182411169432,18.3620199973515,-0.253145264437908,0.402662916626607,0.801970308947992
"O35127","Grcc10",15.5507072372257,15.5469672062794,15.9583946376717,15.3842060248876,15.2240039868359,15.7324862700254,15.3207243105907,15.6679230589072,16.2466073186664,0.209079420967383,0.479154303145134,0.859764355066406
"O35286","Dhx15",15.538255360819,15.8307613393106,16.3328097472315,16.0104835242862,16.6479003074255,15.3478868134942,15.828376728465,15.7340502048439,16.7834580860133,-0.148599097610493,0.654968905634177,0.925789238642521
"O35326","Srsf5",14.6351099367079,15.1432182368434,15.3399669616901,14.6924640613829,14.3770466440661,14.0441093126303,14.516154260781,14.5190132043693,14.287840436561,-0.495781864552674,0.103400564270569,0.58966524372288
"O35382","Exoc4",15.7185344230244,15.385830879038,14.7377038363087,14.6171167636294,15.5333418893017,15.1344602640522,14.4557194446308,13.9270622656478,15.0401400595056,-0.559160049801324,0.104060539440994,0.58966524372288
"O35709","Enc1",16.0021823472816,16.0957476104248,16.2087675201635,15.9441791067412,15.8475190525131,15.2269184200735,15.6545952165687,14.0312159963072,16.3182328149774,-0.711938515443142,0.0593535331780627,0.472849814318566
"O54774","Ap3d1",15.9161091886756,16.1454110599409,16.1326462018258,15.907221171195,16.2735339387412,16.6228736488627,16.396228203278,16.0867308851596,15.8666782169797,0.168143426494272,0.553558215769142,0.884971314393973
"O54781","Srpk2",15.2543445162665,16.6616323198069,16.7313722563922,16.4347533043388,16.9104472357952,15.7227708471863,16.9145252076073,16.6147862787394,16.6471436278203,0.0762965638184028,0.829117310634103,0.966629449958784
"O54833","Csnk2a2",16.9260839143189,17.7669107369277,17.5151877199635,17.3783102809354,17.9906954972432,18.0962325635076,17.6205855750945,17.6952601173031,17.9879327898095,0.334565131550949,0.26593469629802,0.706008437320346
"O54865","Gucy1b1",15.6178400958028,15.8619367412092,16.4140841163273,15.9803722677561,15.8855336986239,15.7434868259016,15.9443613064511,15.1884270153674,16.4212007163523,-0.127584417925764,0.678526737407247,0.934964806925784
"O55029","Copb2",17.0733987020381,16.1303257142508,16.3524808500476,16.4266065920634,16.7245868938037,16.1836891732826,16.2931638275477,15.863496145717,16.6009447555136,-0.306156274925495,0.307602727600839,0.729657735246169
"O55142","Rpl35a",16.3640070669999,16.8449253619259,16.4720409815914,17.3474681408664,16.1064435140839,16.6062424318617,16.6595045014475,16.2665976342928,16.3003261237556,-0.168809340254079,0.581225211613246,0.88935783628485
"O70305","Atxn2",17.811734017458,18.0448119049593,18.4815450852066,17.9685313424064,16.8996108053414,17.8150509216151,17.6811974000757,16.9827490878784,18.4630247959927,-0.105741079683863,0.762997446451985,0.94752422105037
"O70311","Nmt2",16.3219163567193,15.878419257713,16.1619070144148,16.510851188376,16.7340653043616,15.6531379058002,14.6996411195016,15.3092660731784,15.8117330607254,-0.952987284515562,0.00496394783579553,0.276580875978492
"O70551","Srpk1",16.3040646911348,16.8196902884648,16.5823968907095,16.5776125213347,16.7284974539758,16.1730874726862,15.7167904148237,16.5657804210417,16.7926573697202,-0.290373449555947,0.333181760674242,0.744720048692505
"O88196","Ttc3",16.6930026412338,17.0990767709275,17.0377953801049,16.7047471048032,16.9068239119332,16.7242751898877,16.7335083151232,16.127266044535,17.1652131115222,-0.200723496533499,0.493951181347474,0.863511365211237
"O88477","Igf2bp1",17.1546447163062,16.8503279521221,16.9907514070124,17.0667102108,16.7697324633505,16.7270205869496,15.6740086074471,15.4076379048796,16.4064651568114,-0.912650285896298,0.00717805178249038,0.276580875978492
"O88809","Dcx",16.9813099317438,16.4730457420717,17.3671509342461,17.2542450179028,17.1520260960026,17.2363806055877,16.5442011105862,16.362159594769,16.641883008977,-0.349399464413459,0.251816301139434,0.699191948484555
"P01029","C4b",17.7888520347807,18.6900726412527,18.8121186410118,18.5458146739199,17.8072247341811,18.2602147846113,18.0559070713478,17.944016894853,18.7206160117299,-0.0836278543937361,0.790324155517619,0.94752422105037
"P01631","P01631",13.8386719317915,14.7619754050219,14.6964923654876,15.141904089302,13.4509597403411,14.6450488258285,14.678148168676,14.492724853478,14.8908113536016,0.298682594007246,0.381298820236481,0.775578025842714
"P01633","Igk-V19-17",15.4713252326914,16.3389912595504,16.8080655243022,16.0951045206641,15.7354517997754,15.8138963823074,16.5045762048033,15.9246163271258,16.3344293923291,0.0545919092446994,0.863317250585968,0.975816129605761
"P01647","P01647",16.5484705038146,17.424898901048,16.0624856751879,15.6830833262068,15.8639472112564,15.8730966781357,15.8211980914203,15.9649690620323,15.7235159677233,-0.470882173674841,0.169953393380286,0.654760266159495
