From	Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)
A2A8L1	A2A8L1	reviewed	CHD5_MOUSE	Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5)	Mus musculus (Mouse)	1946	Chd5
A2AJI0	A2AJI0	reviewed	MA7D1_MOUSE	MAP7 domain-containing protein 1	Mus musculus (Mouse)	846	Map7d1
A2AN08	A2AN08	reviewed	UBR4_MOUSE	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (N-recognin-4)	Mus musculus (Mouse)	5180	Ubr4
A2ASS6	A2ASS6	reviewed	TITIN_MOUSE	Titin (EC 2.7.11.1) (Connectin)	Mus musculus (Mouse)	35213	Ttn
B2RQC6	B2RQC6	reviewed	PYR1_MOUSE	Multifunctional protein CAD (Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase) [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Glutamine amidotransferase (GATase) (GLNase) (EC 3.5.1.2); Ammonium-dependent carbamoyl phosphate synthase (CPS) (CPSase) (EC 6.3.4.16); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	Mus musculus (Mouse)	2225	Cad
B2RR83	B2RR83	reviewed	YTDC2_MOUSE	3'-5' RNA helicase YTHDC2 (EC 3.6.4.13) (Keen to exit meiosis leaving testes under-populated protein) (Ketu) (YTH domain-containing protein C2) (mYTHDC2)	Mus musculus (Mouse)	1445	Ythdc2
B2RRE7	B2RRE7	reviewed	OTUD4_MOUSE	OTU domain-containing protein 4 (EC 3.4.19.12)	Mus musculus (Mouse)	1107	Otud4
B9EJ86	B9EJ86	reviewed	OSBL8_MOUSE	Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8)	Mus musculus (Mouse)	889	Osbpl8
C0HKE4	C0HKE4	reviewed	H2A1E_MOUSE	Histone H2A type 1-E	Mus musculus (Mouse)	130	H2ac8
E1U8D0	E1U8D0	reviewed	MTCL2_MOUSE	Microtubule cross-linking factor 2 (SOGA family member 1) (Suppressor of glucose by autophagy) (Suppressor of glucose, autophagy-associated protein 1) [Cleaved into: N-terminal form; C-terminal 80 kDa form (80-kDa SOGA fragment)]	Mus musculus (Mouse)	1654	Mtcl2
E9Q5C9	E9Q5C9	reviewed	NOLC1_MOUSE	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140)	Mus musculus (Mouse)	702	Nolc1
E9Q8I9	E9Q8I9	reviewed	FRY_MOUSE	Protein furry homolog	Mus musculus (Mouse)	3020	Fry
F8VPU2	F8VPU2	reviewed	FARP1_MOUSE	FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)	Mus musculus (Mouse)	1048	Farp1
G5E870	G5E870	reviewed	TRIPC_MOUSE	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	Mus musculus (Mouse)	2025	Trip12
O08553	O08553	reviewed	DPYL2_MOUSE	Dihydropyrimidinase-related protein 2 (DRP-2) (Unc-33-like phosphoprotein 2) (ULIP-2)	Mus musculus (Mouse)	572	Dpysl2
O08579	O08579	reviewed	EMD_MOUSE	Emerin	Mus musculus (Mouse)	259	Emd
O08586	O08586	reviewed	PTEN_MOUSE	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (EC 3.1.3.-) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	Mus musculus (Mouse)	403	Pten
O08784	O08784	reviewed	TCOF_MOUSE	Treacle protein (Treacher Collins syndrome protein homolog)	Mus musculus (Mouse)	1320	Tcof1
O08810	O08810	reviewed	U5S1_MOUSE	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	Mus musculus (Mouse)	971	Eftud2
O08967	O08967	reviewed	CYH3_MOUSE	Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3) (CLM3) (SEC7 homolog C) (mSec7-3)	Mus musculus (Mouse)	399	Cyth3
O09012	O09012	reviewed	PEX5_MOUSE	Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (PXR1P) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)	Mus musculus (Mouse)	639	Pex5
O09106	O09106	reviewed	HDAC1_MOUSE	Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein deacylase HDAC1) (EC 3.5.1.-)	Mus musculus (Mouse)	482	Hdac1
O09131	O09131	reviewed	GSTO1_MOUSE	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R) (p28)	Mus musculus (Mouse)	240	Gsto1
O09167	O09167	reviewed	RL21_MOUSE	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	Mus musculus (Mouse)	160	Rpl21
O35127	O35127	reviewed	C10_MOUSE	Protein C10	Mus musculus (Mouse)	126	Grcc10
O35250	O35250	reviewed	EXOC7_MOUSE	Exocyst complex component 7 (Exocyst complex component Exo70)	Mus musculus (Mouse)	697	Exoc7
O35286	O35286	reviewed	DHX15_MOUSE	ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (DEAH box protein 15)	Mus musculus (Mouse)	795	Dhx15
O35326	O35326	reviewed	SRSF5_MOUSE	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	Mus musculus (Mouse)	269	Srsf5
O35382	O35382	reviewed	EXOC4_MOUSE	Exocyst complex component 4 (Exocyst complex component Sec8)	Mus musculus (Mouse)	975	Exoc4
O35709	O35709	reviewed	ENC1_MOUSE	Ectoderm-neural cortex protein 1 (ENC-1)	Mus musculus (Mouse)	589	Enc1
O35737	O35737	reviewed	HNRH1_MOUSE	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	Mus musculus (Mouse)	449	Hnrnph1
O35927	O35927	reviewed	CTND2_MOUSE	Catenin delta-2 (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)	Mus musculus (Mouse)	1247	Ctnnd2
O54774	O54774	reviewed	AP3D1_MOUSE	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin) (mBLVR1)	Mus musculus (Mouse)	1199	Ap3d1
O54781	O54781	reviewed	SRPK2_MOUSE	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	Mus musculus (Mouse)	681	Srpk2
O54865	O54865	reviewed	GCYB1_MOUSE	Guanylate cyclase soluble subunit beta-1 (GCS-beta-1) (EC 4.6.1.2) (Guanylate cyclase soluble subunit beta-3) (GCS-beta-3) (Soluble guanylate cyclase small subunit)	Mus musculus (Mouse)	620	Gucy1b1
O55029	O55029	reviewed	COPB2_MOUSE	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	Mus musculus (Mouse)	905	Copb2
